edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat,c_lng,c_lat
0,0,3015,116.3894407,39.9062721,116.3894463,39.9060115,116.3894435,39.9061418
1,4,7046,116.3934609,39.8988716,116.3933161,39.9015519,116.3933885,39.90021175
2,7046,3609,116.3933161,39.9015519,116.3930805,39.9061466,116.3931983,39.90384925
3,3621,20663,116.3251522,39.9062496,116.3232206,39.9061352,116.3241864,39.9061924
4,8,18894,116.3818619,39.8988605,116.3818667,39.8990002,116.3818643,39.89893035
5,18894,8,116.3818667,39.8990002,116.3818619,39.8988605,116.3818643,39.89893035
6,18894,14,116.3818667,39.8990002,116.3817558,39.900629,116.38181125,39.8998146
7,14,18894,116.3817558,39.900629,116.3818667,39.8990002,116.38181125,39.8998146
8,14,4279,116.3817558,39.900629,116.3816769,39.9013079,116.38171635,39.90096845
9,4279,14,116.3816769,39.9013079,116.3817558,39.900629,116.38171635,39.90096845
10,4279,13,116.3816769,39.9013079,116.3816138,39.9024289,116.38164535,39.9018684
11,13,4279,116.3816138,39.9024289,116.3816769,39.9013079,116.38164535,39.9018684
12,26,13415,116.315387,39.9062149,116.315548,39.9065059,116.31546750000001,39.9063604
13,13415,25428,116.315548,39.9065059,116.3156087,39.9097712,116.31557835000001,39.908138550000004
14,16,17,116.4117218,39.9069468,116.4052788,39.9067581,116.4085003,39.90685245
15,17,22784,116.4052788,39.9067581,116.4051861,39.9067543,116.40523245,39.906756200000004
16,3541,20170,116.3779386,39.898622,116.3779449,39.8984511,116.37794174999999,39.89853655
17,20170,4100,116.3779449,39.8984511,116.378021,39.8973413,116.37798295,39.897896200000005
18,4100,11256,116.378021,39.8973413,116.3781691,39.8950587,116.37809505,39.8962
19,11256,2457,116.3781691,39.8950587,116.3783133,39.8941069,116.37824119999999,39.894582799999995
20,2457,11191,116.3783133,39.8941069,116.3783954,39.8929607,116.37835435,39.8935338
21,11191,11377,116.3783954,39.8929607,116.3784577,39.8899761,116.37842655,39.8914684
22,11377,11215,116.3784577,39.8899761,116.3784696,39.8891699,116.37846365,39.889573
23,11215,20054,116.3784696,39.8891699,116.3784669,39.8882467,116.37846825,39.888708300000005
24,45,11938,116.3945787,39.9933535,116.3947859,39.9932058,116.3946823,39.99327965
25,11938,49,116.3947859,39.9932058,116.3971886,39.9932535,116.39598725,39.99322965
26,49,22113,116.3971886,39.9932535,116.3982942,39.9933848,116.3977414,39.993319150000005
27,49,46,116.3971886,39.9932535,116.397173,39.9920935,116.3971808,39.9926735
28,46,49,116.397173,39.9920935,116.3971886,39.9932535,116.3971808,39.9926735
29,46,50,116.397173,39.9920935,116.3972082,39.9886984,116.39719059999999,39.99039595
30,50,46,116.3972082,39.9886984,116.397173,39.9920935,116.39719059999999,39.99039595
31,5265,22481,116.3939401,40.0082142,116.3940184,40.0058245,116.39397925,40.00701935
32,22481,5910,116.3940184,40.0058245,116.3940224,40.0057032,116.39402039999999,40.00576385
33,5910,5828,116.3940224,40.0057032,116.3940971,40.0037083,116.39405975,40.00470575
34,5828,19939,116.3940971,40.0037083,116.3942037,40.0011423,116.3941504,40.0024253
35,19939,11949,116.3942037,40.0011423,116.3942278,40.0008476,116.39421575,40.00099495
36,11949,22349,116.3942278,40.0008476,116.3944087,39.9967993,116.39431825,39.99882345
37,22349,5269,116.3944087,39.9967993,116.3944137,39.9967236,116.39441120000001,39.99676145
38,5269,31462,116.3944137,39.9967236,116.3945481,39.9942573,116.39448089999999,39.995490450000005
39,31462,45,116.3945481,39.9942573,116.3945787,39.9933535,116.3945634,39.9938054
40,45,22485,116.3945787,39.9933535,116.3946049,39.9900848,116.3945918,39.991719149999994
41,22485,31460,116.3946049,39.9900848,116.3946717,39.9889565,116.3946383,39.98952065
42,31460,48,116.3946717,39.9889565,116.394698,39.9885124,116.39468485,39.988734449999995
43,48,31456,116.394698,39.9885124,116.3947152,39.9882112,116.3947066,39.9883618
44,31456,22155,116.3947152,39.9882112,116.3947548,39.9871227,116.394735,39.987666950000005
45,51,174,116.3640579,39.9859264,116.3660573,39.9859732,116.3650576,39.9859498
46,174,19157,116.3660573,39.9859732,116.3666359,39.9859803,116.3663466,39.98597675
47,67,68,116.4020469,39.9476009,116.4053914,39.9476591,116.40371915,39.947630000000004
48,10877,15,116.4005353,39.906463,116.4004073,39.9066074,116.40047129999999,39.9065352
49,145,10733,116.4025943,39.9319029,116.402742,39.928492,116.40266815000001,39.930197449999994
50,10733,183,116.402742,39.928492,116.4028883,39.9258827,116.40281515000001,39.92718735
51,111,116,116.394445,39.981022,116.3939967,39.9814223,116.39422085000001,39.98122215
52,116,111,116.3939967,39.9814223,116.394445,39.981022,116.39422085000001,39.98122215
53,110,117,116.391715,39.9809118,116.3921462,39.9813649,116.3919306,39.98113835
54,117,110,116.3921462,39.9813649,116.391715,39.9809118,116.3919306,39.98113835
55,73,3602,116.4206977,39.9071039,116.4206952,39.9069451,116.42069645000001,39.907024500000006
56,3,3542,116.3898158,39.8987502,116.3898178,39.8986298,116.3898168,39.89869
57,3542,3,116.3898178,39.8986298,116.3898158,39.8987502,116.3898168,39.89869
58,3543,134,116.3934817,39.8987479,116.3985895,39.8992743,116.3960356,39.899011099999996
59,3920,145,116.4025886,39.9320171,116.4025943,39.9319029,116.40259145,39.931960000000004
60,147,1422,116.3897402,39.9387626,116.3898366,39.9369575,116.3897884,39.93786005
61,1422,147,116.3898366,39.9369575,116.3897402,39.9387626,116.3897884,39.93786005
62,1422,1431,116.3898366,39.9369575,116.3898843,39.9360646,116.38986045,39.93651105
63,1431,1422,116.3898843,39.9360646,116.3898366,39.9369575,116.38986045,39.93651105
64,1431,1429,116.3898843,39.9360646,116.389933,39.9351535,116.38990865,39.93560905
65,1429,1431,116.389933,39.9351535,116.3898843,39.9360646,116.38990865,39.93560905
66,24002,24001,116.4645492,39.9530732,116.4650889,39.9512556,116.46481904999999,39.9521644
67,24001,24002,116.4650889,39.9512556,116.4645492,39.9530732,116.46481904999999,39.9521644
68,24213,175,116.4194294,39.93965,116.4194138,39.9395643,116.41942159999999,39.93960715
69,939,940,116.4304239,39.9322423,116.4304387,39.9302262,116.4304313,39.93123425
70,940,939,116.4304387,39.9302262,116.4304239,39.9322423,116.4304313,39.93123425
71,940,2434,116.4304387,39.9302262,116.4304418,39.9296116,116.43044025,39.929918900000004
72,2434,940,116.4304418,39.9296116,116.4304387,39.9302262,116.43044025,39.929918900000004
73,2434,12968,116.4304418,39.9296116,116.4305966,39.9288653,116.43051919999999,39.92923845
74,12968,2434,116.4305966,39.9288653,116.4304418,39.9296116,116.43051919999999,39.92923845
75,12968,7009,116.4305966,39.9288653,116.4311742,39.9271075,116.4308854,39.927986399999995
76,7009,12968,116.4311742,39.9271075,116.4305966,39.9288653,116.4308854,39.927986399999995
77,7009,195,116.4311742,39.9271075,116.4313674,39.9255377,116.4312708,39.9263226
78,195,7009,116.4313674,39.9255377,116.4311742,39.9271075,116.4312708,39.9263226
79,24047,52765,116.48418,39.9323792,116.4856594,39.9324036,116.4849197,39.9323914
80,52765,219,116.4856594,39.9324036,116.489314,39.9329221,116.4874867,39.93266285
81,219,26714,116.489314,39.9329221,116.4893947,39.932945,116.48935435,39.93293355
82,26714,218,116.4893947,39.932945,116.4958798,39.9347876,116.49263725,39.9338663
83,218,26717,116.4958798,39.9347876,116.4960018,39.9348238,116.4959408,39.9348057
84,225,220,116.4758619,39.9299446,116.4723082,39.9298801,116.47408505,39.929912349999995
85,220,30002,116.4723082,39.9298801,116.4721529,39.9298726,116.47223055,39.92987635
86,253,20562,116.4786611,39.9300034,116.4787036,39.9323714,116.47868235,39.9311874
87,20562,253,116.4787036,39.9323714,116.4786611,39.9300034,116.47868235,39.9311874
88,166,25885,116.3875497,39.9477585,116.387072,39.9477533,116.38731085,39.947755900000004
89,25885,167,116.387072,39.9477533,116.3839776,39.9477155,116.3855248,39.9477344
90,167,13802,116.3839776,39.9477155,116.3778339,39.9476721,116.38090575,39.947693799999996
